COG,Group,value
B,NC_singleton_gene,0
B,AD_singleton_gene,1
B,Acne_singleton_gene,0
C,NC_singleton_gene,15
C,AD_singleton_gene,12
C,Acne_singleton_gene,33
D,NC_singleton_gene,5
D,AD_singleton_gene,5
D,Acne_singleton_gene,6
E,NC_singleton_gene,17
E,AD_singleton_gene,16
E,Acne_singleton_gene,31
F,NC_singleton_gene,5
F,AD_singleton_gene,10
F,Acne_singleton_gene,12
G,NC_singleton_gene,8
G,AD_singleton_gene,6
G,Acne_singleton_gene,11
H,NC_singleton_gene,11
H,AD_singleton_gene,8
H,Acne_singleton_gene,16
I,NC_singleton_gene,11
I,AD_singleton_gene,7
I,Acne_singleton_gene,17
J,NC_singleton_gene,26
J,AD_singleton_gene,20
J,Acne_singleton_gene,41
K,NC_singleton_gene,8
K,AD_singleton_gene,5
K,Acne_singleton_gene,17
L,NC_singleton_gene,6
L,AD_singleton_gene,16
L,Acne_singleton_gene,18
M,NC_singleton_gene,0
M,AD_singleton_gene,7
M,Acne_singleton_gene,10
N,NC_singleton_gene,1
N,AD_singleton_gene,2
N,Acne_singleton_gene,2
O,NC_singleton_gene,3
O,AD_singleton_gene,8
O,Acne_singleton_gene,14
P,NC_singleton_gene,11
P,AD_singleton_gene,11
P,Acne_singleton_gene,32
Q,NC_singleton_gene,2
Q,AD_singleton_gene,3
Q,Acne_singleton_gene,6
S,NC_singleton_gene,10
S,AD_singleton_gene,16
S,Acne_singleton_gene,33
T,NC_singleton_gene,2
T,AD_singleton_gene,4
T,Acne_singleton_gene,10
U,NC_singleton_gene,3
U,AD_singleton_gene,2
U,Acne_singleton_gene,7
V,NC_singleton_gene,6
V,AD_singleton_gene,8
V,Acne_singleton_gene,6
Z,NC_singleton_gene,1
Z,AD_singleton_gene,0
Z,Acne_singleton_gene,0
